City_ID,city_id,city_name,latitude,longitude,temp,humidity,cloudiness,wind_speed,country,date
76,3464724,Kahului,20.89,-156.47,77.0,69,40,16.11,US,1609466686
77,3464724,Katherine,-14.47,132.27,87.8,62,6,10.29,AU,1609466687
78,3464724,Kumul,42.8,93.45,13.96,79,100,2.13,CN,1609466438
79,3464724,Kichera,55.94,110.1,-14.42,75,0,6.15,RU,1609466688
80,3464724,Quelimane,-17.88,36.89,77.83,87,9,6.53,MZ,1609466688
81,3464724,Harbour Breton,47.48,-55.8,36.79,82,92,15.93,CA,1609466448
82,3464724,Ribeira Grande,38.52,-28.7,60.24,79,14,17.34,PT,1609466688
83,3464724,Sakakah,29.97,40.21,46.4,87,0,3.36,SA,1609466688
84,3464724,Kodarmā,24.47,85.6,54.23,64,15,3.02,IN,1609466689
85,3464724,Avarua,-21.21,-159.78,77.0,88,98,6.93,CK,1609466407
86,3464724,Airai,-8.93,125.41,72.66,83,73,2.06,TL,1609466689
87,3464724,Raahe,64.68,24.48,28.99,92,90,6.93,FI,1609466690
88,3464724,Honiara,-9.43,159.95,91.4,55,40,5.82,SB,1609466456
89,3464724,Manado,1.49,124.85,87.8,66,20,5.82,ID,1609466426
90,3464724,Walvis Bay,-22.96,14.51,61.0,82,100,12.75,NA,1609466691
91,3464724,Shāhābād,27.65,79.95,45.66,68,0,2.93,IN,1609466691
92,3464724,Severo-Kuril'sk,50.68,156.12,30.7,95,100,9.73,RU,1609466691
93,3464724,Teyateyaneng,-29.15,27.75,62.15,78,100,1.32,LS,1609466691
94,3464724,Khatanga,71.97,102.5,-27.81,83,93,13.27,RU,1609466692
95,3464724,Bucerías,20.75,-105.33,66.2,48,5,4.7,MX,1609466692
96,3464724,Bilibino,68.05,166.44,-33.52,80,100,1.83,RU,1609466424
97,3464724,Bengkulu,-3.8,102.27,83.77,63,83,2.62,ID,1609466692
98,3464724,High Level,58.52,-117.14,12.2,92,90,9.17,CA,1609466693
99,3464724,Kumluca,36.37,30.29,58.6,66,89,4.81,TR,1609466693
100,3464724,Paamiut,61.99,-49.67,29.95,95,90,7.47,GL,1609466414
101,3464724,Bushenyi,-0.59,30.21,59.0,97,100,1.39,UG,1609466693
102,3464724,Baharly,38.44,57.43,33.03,80,0,9.15,TM,1609466430
103,3464724,Matara,5.95,80.54,77.68,77,77,12.66,LK,1609466693
104,3464724,Fairbanks,64.84,-147.72,3.0,69,1,3.2,US,1609466396
105,3464724,Buala,-8.14,159.59,85.73,66,37,3.6,SB,1609466694
106,3464724,Arraial do Cabo,-22.97,-42.03,74.86,88,52,20.45,BR,1609466694
107,3464724,Kiruna,67.86,20.23,26.6,92,100,8.05,SE,1609466694
108,3464724,Amboasary,-25.03,46.38,77.0,78,20,13.87,MG,1609466694
109,3464724,Faruka,31.89,72.41,44.13,47,0,3.11,PK,1609466694
110,3464724,Mehamn,71.04,27.85,25.14,95,21,9.71,NO,1609466694
111,3464724,College,64.86,-147.8,3.0,69,1,3.31,US,1609466694
112,3464724,Berdigestyakh,62.1,126.7,-25.28,85,100,6.62,RU,1609466695
113,3464724,Diré,12.28,-10.97,72.41,27,0,2.3,ML,1609466695
114,3464724,Issoire,45.55,3.25,35.6,93,75,3.53,FR,1609466695
115,3464724,Terrace,54.52,-128.6,30.2,100,90,6.93,CA,1609466451
116,3464724,Mount Gambier,-37.83,140.77,80.6,51,0,6.93,AU,1609466695
117,3464724,Mtwango,-9.02,34.8,58.41,97,100,3.49,TZ,1609466695
118,3464724,Laas,46.62,10.7,24.01,85,5,2.55,IT,1609466696
119,3464724,Lavrentiya,65.58,-171.0,25.72,97,100,10.45,RU,1609466696
120,3464724,Itaituba,-4.28,-55.98,75.25,94,100,1.92,BR,1609466697
121,3464724,Bluff,-46.6,168.33,62.01,75,98,4.0,NZ,1609466457
122,3464724,Mar del Plata,-38.0,-57.56,64.99,67,0,2.24,AR,1609466697
